"location","device","filter","day","elapsed_time","n_readings","daily_mean_pm","daily_95_pm","daily_mean_rh","daily_mean_t"
"Amity University Noida, India","AD00414","J2179",2025-03-10,23.7,72,161.7,255.3,30.4,36.9
"Tainan, Taiwan","AD00406","J2067",2025-03-08,9,28,35.2,45.5,32.1,34.3
"Tainan, Taiwan","AD00406","J2067",2025-03-07,24,73,28,39.9,38.9,26.6
"Amity University Noida, India","AD00413","J1493",2025-03-06,5.7,15,48.7,67.3,15.3,37.4
"Amity University Noida, India","AD00414","J1735",2025-03-06,5.7,18,44,66.4,23,36.3
"Tainan, Taiwan","AD00406","J2020",2025-03-06,9,28,23.3,38.5,41.8,25.6
"Amity University Noida, India","AD00413","J1493",2025-03-05,23.7,71,50.3,85.7,19.6,29.3
"Amity University Noida, India","AD00414","J1735",2025-03-05,23.6,72,48.7,84.9,26.7,28.8
"Tainan, Taiwan","AD00406","J2020",2025-03-05,24,73,18.3,28.4,38.4,31.1
"Amity University Noida, India","AD00413","J1493",2025-03-04,23.6,72,55.1,78.3,24.3,30.1
"Amity University Noida, India","AD00414","J1735",2025-03-04,23.7,72,52.9,77.7,31.6,29.7
"Tainan, Taiwan","AD00403","J2079",2025-03-04,3.3,11,36.6,49,35,43.1
"Amity University Noida, India","AD00413","J1493",2025-03-03,23.7,69,91.8,159.4,22.7,33.3
"Amity University Noida, India","AD00414","J1735",2025-03-03,23.7,72,86.6,152.8,29.9,33.1
"Tainan, Taiwan","AD00403","J2079",2025-03-03,23.7,72,14.9,36.5,42.9,37.3
"Tainan, Taiwan","AD00406","J2008",2025-03-03,12.3,38,6.3,12,37,38.2
"Amity University Noida, India","AD00413","J1493",2025-03-02,23.7,70,62.1,105.2,22.9,31.5
"Amity University Noida, India","AD00414","J1735",2025-03-02,23.7,72,61.4,106.7,31,30.8
"Tainan, Taiwan","AD00403","J2097",2025-03-02,14.7,46,13.6,25,32.5,39.6
"Tainan, Taiwan","AD00406","J2022",2025-03-02,15,46,13.7,26,30.2,38.5
"Amity University Noida, India","AD00413","J1493",2025-03-01,23.7,72,129.2,239.3,33.1,31.9
"Amity University Noida, India","AD00414","J1735",2025-03-01,23.7,72,129.6,245.9,39.3,31.7
"Tainan, Taiwan","AD00403","J2097",2025-03-01,23.7,73,28,43.3,33.3,36.4
"Tainan, Taiwan","AD00406","J2022",2025-03-01,23.7,73,21.9,33.4,33.8,34
"Amity University Noida, India","AD00413","J1493",2025-02-28,23.7,72,112.6,149.7,36,29.8
"Amity University Noida, India","AD00414","J1735",2025-02-28,24,73,109.4,146.2,43.8,29.9
"Amity University Noida, India","AD00413","J1493",2025-02-27,24,73,85.2,155.4,26.3,34.3
"Amity University Noida, India","AD00414","J1735",2025-02-27,23.7,72,67.5,136.3,35.7,32.6
"Tainan, Taiwan","AD00406","J2059",2025-02-27,9,28,66.6,82.8,34.7,34.5
"Amity University Noida, India","AD00414","J1729",2025-02-26,22.7,69,151.3,281.4,32.6,34.7
"Tainan, Taiwan","AD00406","J2059",2025-02-26,24,73,50.3,67.5,41.6,27.6
"Adama, Ethiopia","AD00410","J0001",2025-02-25,5.7,4,23.3,34.5,15.6,31.5
"Amity University Noida, India","AD00414","J1729",2025-02-25,23.7,71,169.2,352.4,30.3,33.2
"Tainan, Taiwan","AD00406","J2007",2025-02-25,9,28,39.3,59.6,28.8,33.7
