filter,site,lat,lng,device,deploy_start,shutdown_mode,flow_avg_l_min,sample_vol_L,run_time_filter_hrs,run_time_hrs,gravi_pre_ug,gravi_post_ug,gravi_diff_ug,gravi_con_ugm3,error_flag
J0134,atlanta,33.68797,-84.2904,AD00096,2021-09-18T13:00:00,3,1.99,2879.49,24.004,120,,,,,
J0135,atlanta,33.68797,-84.2904,AD00091,2021-10-12T13:00:00,2,2,2139.03,17.829,17.82,,,,,
J0137,atlanta,33.68801,-84.2905,AD00096,2021-09-24T13:00:00,3,1.99,2877.64,24.003,120,,,,,
J0139,pasadena,34.19942,-118.173,AD00103,2021-10-07T16:00:00,3,1.99,2879.62,24.004,120,99972,100009.6667,37.66666667,13.08042959,
J0142,pasadena,34.1994,-118.173,AD00103,2021-09-17T16:00:00,1,1.99,2879.71,24.004,24.27,98439.33333,98555.66667,116.3333333,40.39758633,
J0143,pasadena,34.19942,-118.173,AD00103,2021-09-02T16:01:00,2,1.99,2879.69,24.004,64.52,99393.33333,99521.33333,128,44.44922891,
J0145,atlanta,33.77681,-84.3485,AD00089,2021-11-23T14:01:00,3,1.99,2879.3,24.004,120,,,,,
J0146,atlanta,33.68801,-84.2905,AD00095,2021-12-23T14:00:00,1,2,2880.42,24.004,120,101232,101267.6667,35.66666667,12.38245348,
J0148,atlanta,33.77686,-84.3485,AD00091,2021-11-06T13:01:00,1,2,2879.95,24.004,27.58,98639.33333,98675.66667,36.33333333,12.61595977,
J0151,atlanta,33.688,-84.2904,AD00095,2022-01-28T14:00:00,1,2,2880.3,24.004,120,98766,98778.66667,98778.66667,34294.5758,
J0152,atlanta,33.77685,-84.3484,AD00095,2021-12-01T15:00:00,3,1.99,2879.76,24.004,120,99369,99397,28,9.723032475,
J0153,atlanta,33.68799,-84.2904,AD00089,2022-01-29T00:00:00,0,1.99,2879.59,24.004,33.99,99775.66667,99794,18.33333333,6.366647104,
J0154,atlanta,33.68797,-84.2904,AD00089,2021-12-23T14:00:00,2,1.99,2879.36,24.004,74.23,98389.33333,98420.33333,31,10.7662814,
J0362,fort collins,40.59409,-105.075,AD00092,2021-11-20T16:00:00,2,2,2879.87,24.004,36.71,,,,,
J0363,fort collins,40.59416,-105.075,AD00100,2021-11-23T16:00:00,2,1.99,2879.39,24.004,60.8,,,,,
J0369,fort collins,40.59413,-105.075,AD00094,2021-11-23T16:00:00,2,1.99,2878.95,24.004,54.54,,,,,
J0374,pasadena,34.19944,-118.173,AD00099,2021-12-24T00:00:00,0,2,2880.1,24.004,30.99,101146.6667,101195,48.33333333,16.78182471,
J0375,atlanta,33.68796,-84.2904,AD00095,2022-03-25T13:00:00,2,2,2880.4,24.004,114.37,,,,,
J0376,pasadena,34.19945,-118.173,AD00099,2022-01-12T00:00:00,0,2,2879.83,24.004,30.99,100975.3333,100999.3333,24,8.333825261,
J0380,pasadena,34.19942,-118.173,AD00099,2022-01-05T00:00:00,0,2,2879.88,24.004,30.99,100230,100252,22,7.639207189,
J0383,pasadena,34.19935,-118.173,AD00099,2021-12-30T00:00:00,0,2,2880.87,24.004,30.99,99631.33333,99654.33333,23,7.983699369,
J0385,atlanta,33.68802,-84.2904,AD00089,2022-04-07T00:00:00,0,1.99,2878.81,24.004,34.99,,,,,
J0387,pasadena,34.19943,-118.173,AD00099,2022-01-26T00:00:00,0,2,2879.93,24.004,30.99,,,,,
J0388,pasadena,34.19938,-118.173,AD00099,2021-12-13T17:20:00,3,1.99,2877.38,24.003,120,101795,101864.6667,69.66666667,24.21184086,
J0389,fort collins,40.59412,-105.075,AD00094,2021-12-21T00:00:00,0,1.99,2879.55,24.004,31.99,,,,,
J0390,atlanta,33.68799,-84.2905,AD00095,2022-05-04T13:00:00,2,2,2045.95,17.05,17.05,,,,,
J0391,pasadena,34.19945,-118.173,AD00099,2022-03-10T00:00:00,0,1.99,2876.05,24.004,30.99,100184.3333,100238,53.66666667,18.65985176,
J0392,atlanta,33.68799,-84.2904,AD00089,2022-02-21T00:00:00,0,2,2879.94,24.004,33.99,,,,,
J0393,atlanta,33.68796,-84.2905,AD00095,2022-04-05T13:00:00,3,2,2882.75,24.004,120,,,,,
J0394,pasadena,34.19943,-118.173,AD00099,2022-03-19T00:00:00,0,1.99,2870.37,24.004,31.99,99755.66667,99822,66.33333333,23.1096804,
J0395,pasadena,34.1994,-118.173,AD00099,2022-02-20T00:00:00,0,1.99,2878.92,24.004,30.99,99227,99265.33333,38.33333333,13.31517838,
J0396,pasadena,34.19945,-118.173,AD00099,2022-02-11T00:00:00,0,2,2879.88,24.004,30.99,100369.3333,100472.3333,103,35.76537911,
J0397,atlanta,33.68803,-84.2905,AD00095,2022-03-15T13:00:00,2,2,2881.03,24.004,68.5,,,,,
J0398,pasadena,34.1994,-118.173,AD00099,2022-03-25T00:00:00,0,1.99,2866.15,24.004,31.99,99651.33333,99717,65.66666667,22.91110607,
J0399,atlanta,33.68792,-84.2904,AD00095,2022-02-26T15:00:00,2,2,2880.46,24.004,111.19,,,,,
J0401,taichung,24.16221,120.6165,AD00094,2022-06-04T00:02:00,2,1.97,2705.69,22.785,22.78,,,,,
J0403,atlanta,33.68796,-84.2904,AD00089,2022-03-01T00:00:00,0,1.99,2878.71,24.004,33.32,,,,,
J0404,atlanta,33.68799,-84.2903,AD00095,2022-02-18T14:01:00,1,2,2880.34,24.004,120,,,,,
J0406,atlanta,33.68799,-84.2904,AD00089,2022-12-11T00:00:00,0,1.86,2688.32,24.004,105.99,,,,,
J0407,pasadena,34.19941,-118.173,AD00099,2022-02-05T00:00:00,0,1.99,2879.69,24.004,30.99,98181.66667,98228.66667,47,16.32120124,
J0408,atlanta,33.68801,-84.2905,AD00089,2022-03-16T00:00:00,0,1.99,2878.68,24.004,34.99,,,,,
J0409,pretoria,-25.9005,28.10804,AD00103,2022-10-27T00:00:00,0,1.99,2865.91,24.004,40.97,100044,100064.3333,20.33333333,7.094895978,
J0410,atlanta,33.68802,-84.2904,AD00089,2022-03-26T00:00:00,0,1.99,2878.68,24.004,34.99,,,,,
J0411,pasadena,34.19939,-118.173,AD00099,2022-02-25T00:00:00,0,1.99,2879.2,24.004,30.32,100454,100537.6667,83.66666667,29.05899787,
J0414,atlanta,33.68801,-84.2905,AD00089,2022-02-10T00:00:00,0,1.99,2878.47,24.004,33.99,100207,100231.6667,24.66666667,8.569367291,
J0416,atlanta,33.688,-84.2904,AD00089,2022-05-05T00:00:00,0,1.89,2733.57,24.001,34.94,,,,,
J0418,pasadena,34.19947,-118.173,AD00099,2022-03-23T00:00:00,1,1.99,2868.67,24.004,28.75,99518.33333,99547.66667,29.33333333,10.22541224,
J0419,pasadena,34.19945,-118.173,AD00099,2022-05-07T00:00:00,0,1.86,2686.62,24.004,31.99,99893.33333,99902.66667,9.333333333,3.474005752,
J0421,pasadena,34.19949,-118.173,AD00099,2022-04-15T00:00:00,0,1.93,2786.56,24.004,31.99,100944,101039.6667,95.66666667,34.33145766,
J0422,pasadena,34.19945,-118.173,AD00099,2022-05-29T00:00:00,0,1.86,2687.68,24.004,55.99,99115,99124.33333,9.333333333,3.472635631,
J0423,pasadena,34.19948,-118.173,AD00099,2022-04-22T00:00:00,0,1.9,2743.7,24.004,31.99,98799,98832.66667,33.66666667,12.27053492,
J0424,pasadena,34.19943,-118.173,AD00099,2022-06-05T00:00:00,0,1.86,2687.54,24.004,31.99,99712,99720,8,2.976699882,
J0425,pasadena,34.19944,-118.173,AD00099,2022-06-11T00:00:00,0,1.86,2682.08,24.004,31.98,100407.6667,100413,5.333333333,1.988506433,
J0426,pasadena,34.19944,-118.173,AD00099,2022-07-06T00:00:00,0,1.86,2687.21,24.004,31.99,99930.33333,99978.66667,48.33333333,17.98643699,
J0427,pasadena,34.1994,-118.173,AD00099,2022-06-25T00:00:00,0,1.86,2686.69,24.004,31.98,99294.33333,99352,57.66666667,21.46383344,
J0429,pasadena,34.1994,-118.173,AD00099,2022-07-15T00:00:00,0,1.86,2687.21,24.003,31.98,100156.3333,100160.6667,4.333333333,1.612577109,
J0430,pasadena,34.19942,-118.173,AD00099,2022-04-30T00:00:00,0,1.88,2708.87,24.004,31.99,99700.66667,99749,48.33333333,17.84261826,
J0431,pasadena,34.19944,-118.173,AD00099,2022-05-21T00:00:00,0,1.86,2688.86,24.004,31.99,98346.33333,98484,137.6666667,51.19889718,
J0432,pasadena,34.19946,-118.173,AD00099,2022-05-15T00:00:00,0,1.86,2686.72,24.004,31.99,99089.33333,99094.66667,5.333333333,1.985072257,
J0434,pasadena,34.19947,-118.173,AD00099,2022-04-01T00:00:00,0,1.97,2845.24,24.004,31.99,,,,,
J0435,pasadena,34.19942,-118.173,AD00099,2022-05-05T00:00:00,1,1.86,2687.24,24.004,27.08,99210.33333,99264.66667,54.33333333,20.21901034,
J0436,pasadena,34.19946,-118.173,AD00099,2022-06-16T00:00:00,0,1.85,2669,24.004,31.98,99667,99670.66667,3.666666667,1.373797927,
J0437,pasadena,34.19933,-118.173,AD00099,2022-04-09T00:00:00,0,1.96,2823.25,24.004,31.99,100830,100837.6667,7.666666667,2.715546504,
J0438,pasadena,34.19944,-118.173,AD00099,2022-07-08T00:00:00,0,1.86,2687,24.003,31.32,99763.33333,99766.66667,3.333333333,1.240540876,
J0451,tainan,23.00162,120.2207,AD00092,2022-09-19T00:00:00,0,1.99,2879.21,24.004,46.97,,,,,
J0452,manesar,28.31767,76.91594,AD00088,2022-08-18T04:01:00,2,1.99,762.15,6.354,6.35,100252.3333,100269.3333,17,22.30532047,
J0453,manesar,28.31765,76.916,AD00088,2022-08-31T04:21:00,2,0.65,86.86,2.213,2.21,99939.66667,99959,19.33333333,222.5803976,
J0456,manesar,28.31764,76.91598,AD00088,2022-10-20T00:00:00,1,1.99,2876.31,24.004,25.32,100322.6667,100340.6667,18,6.258018086,
J0457,manesar,28.54397,77.33526,AD00102,2022-08-03T00:00:00,1,1.99,2878.3,24.004,24.34,99262.33333,99400.66667,138.3333333,48.06077662,
J0459,atlanta,33.68798,-84.2905,AD00089,2022-09-07T00:00:00,0,1.91,2760.7,24.004,34.99,99651.66667,99683,31.33333333,11.34977844,
J0460,tainan,23.00211,120.2206,AD00092,2022-09-28T00:00:00,2,1.99,2879.35,24.004,34.05,100483.6667,100515.6667,32,11.11361939,
J0461,manesar,28.3177,76.91597,AD00088,2022-07-27T00:00:00,1,1.99,2879.57,24.004,43.97,99451,99476.33333,25.33333333,8.797609828,
