"location","device","filter","day","elapsed_time","n_readings","daily_mean_pm","daily_95_pm","daily_mean_rh","daily_mean_t"
"Pretoria, South Africa","AD00104","D0907",2021-09-10,23.7,72,20.4,35.1,24,30.3
"Taichung, Taiwan","AD00094","D0901",2021-09-10,1,4,24.5,25.5,2.2,47.8
"Taichung, Taiwan","AD00094","D0901",2021-09-10,23.7,74,30,36.3,24,27.8
"Tainan, Taiwan","AD00092","J0118",2021-09-10,23.7,72,18.2,31,17.5,32.4
"Delhi, India","AD00096","J0131",2021-09-05,23.3,71,20.9,32.8,41.4,34.5
"Delhi, India","AD00096","J0131",2021-09-04,23.7,72,15.7,26.3,42.5,30.6
"Pretoria, South Africa","AD00103","J0143",2021-09-04,6.3,20,3.3,8.1,7.5,42.2
"AASTU, Ethiopia","AD00091","J0122",2021-09-03,17.7,54,7.8,14.4,47.6,30.4
"Delhi, India","AD00096","J0131",2021-09-03,23.7,72,10.2,17.3,41.9,29.9
"Pretoria, South Africa","AD00103","J0143",2021-09-03,23.6,72,19,28.5,33.7,29.6
"AASTU, Ethiopia","AD00091","J0122",2021-09-02,23.7,72,12.7,22.6,54.4,31.3
"Delhi, India","AD00096","J0131",2021-09-02,24,73,13.9,25,43.7,32.9
"Pretoria, South Africa","AD00103","J0143",2021-09-02,24,73,26.5,31.6,39.2,27.8
"AASTU, Ethiopia","AD00091","J0122",2021-09-01,23.7,72,7.5,11.6,54.7,32
"Taichung, Taiwan","AD00094","D0901",2021-08-30,16.6,51,20.1,28.9,43.1,24.7
"Taichung, Taiwan","AD00094","D0901",2021-08-29,23.7,72,18.6,25.3,24.8,31
"AASTU, Ethiopia","AD00098","J0060",2021-08-28,8.7,27,25.2,32.5,6.1,48.5
"Amity University Noida, India","AD00088","J0039",2021-08-28,6.7,21,26.5,36.4,15.4,44
"Amity University Noida, India","AD00090","D1257",2021-08-28,22.3,68,20.8,28.1,27.1,31.3
"Pretoria, South Africa","AD00104","D1257",2021-08-28,10.3,32,22.5,25.5,17.6,40.3
"Taichung, Taiwan","AD00094","D0901",2021-08-28,23.7,72,13.5,37.9,24.5,31.5
"Tainan, Taiwan","AD00092","J0118",2021-08-28,1.7,6,29.5,31.6,12.3,35.8
"AASTU, Ethiopia","AD00093","J0016",2021-08-27,4,13,3.6,5.1,19,37.6
"AASTU, Ethiopia","AD00098","J0060",2021-08-27,23.7,72,6,15.9,19.1,36
"Amity University Noida, India","AD00088","J0039",2021-08-27,23.7,72,6.4,16.9,28,33.7
"Amity University Noida, India","AD00090","D1257",2021-08-27,23.7,72,14.5,42.5,27.6,30.4
"Pretoria, South Africa","AD00104","D1257",2021-08-27,23.7,72,9.9,36.1,28.5,31.3
"Taichung, Taiwan","AD00094","D0901",2021-08-27,23.7,72,3,6.4,23.6,31.6
"Tainan, Taiwan","AD00092","J0118",2021-08-27,23.6,72,6.8,24.5,22.2,32.8
"AASTU, Ethiopia","AD00093","J0016",2021-08-26,23.7,60,3.2,10.7,25.3,31.8
"Amity University Noida, India","AD00088","J0039",2021-08-26,0,1,1.6,1.6,27.7,31.9
"Amity University Noida, India","AD00088","J0039",2021-08-26,23.6,68,2.7,6.9,28.7,31.5
"Amity University Noida, India","AD00090","D1257",2021-08-26,23.3,68,3.5,9.1,27.8,28.6
"Pretoria, South Africa","AD00103","J0059",2021-08-26,2,6,9.2,16.4,16,41.3
"Pretoria, South Africa","AD00104","D1257",2021-08-26,23.7,68,2.9,7.1,30,28.9
"Taichung, Taiwan","AD00094","D0901",2021-08-26,6,19,3.9,17.5,14.8,37.1
"Tainan, Taiwan","AD00101","D1419",2021-08-26,0,1,0.3,0.3,12.1,37.7
"Tainan, Taiwan","AD00101","J0046",2021-08-26,2,6,5.4,9.5,11,45.2
"AASTU, Ethiopia","AD00093","J0016",2021-08-25,23.6,72,12.6,18.6,33,32.4
"AASTU, Ethiopia","AD00098","J0060",2021-08-25,0,1,20.5,20.5,31.3,27.9
"Amity University Noida, India","AD00088","J0039",2021-08-25,0,1,19.5,19.5,42,25.3
"Amity University Noida, India","AD00090","D1257",2021-08-25,24,75,15.3,21.1,36.9,30.2
"Delhi, India","AD00096","J0119",2021-08-25,15,46,24.7,36.6,39.7,38.8
"Pretoria, South Africa","AD00103","J0059",2021-08-25,0,1,21.1,21.1,38.3,23.9
"Pretoria, South Africa","AD00103","J0059",2021-08-25,23.7,66,14.1,19.9,33,30.9
"Pretoria, South Africa","AD00104","D0907",2021-08-25,1.9,21,22,25.3,31.5,29.2
"Pretoria, South Africa","AD00104","D1257",2021-08-25,24,73,13.3,18,41,29
"Taichung, Taiwan","AD00094","D0901",2021-08-25,4.7,15,19.4,24,23.9,35
"Tainan, Taiwan","AD00092","J0118",2021-08-25,23.3,71,13.4,20,33.1,30.9
"Tainan, Taiwan","AD00101","J0046",2021-08-25,23.3,65,12.5,18.4,32,32.1
"AASTU, Ethiopia","AD00091","D0907",2021-08-18,3.7,12,22.6,25.4,13.8,49.7
"AASTU, Ethiopia","AD00091","J0046",2021-08-06,0.3,2,29.6,34,39.4,28.4
"AASTU, Ethiopia","AD00091","J0046",2021-08-05,23.7,72,48.8,57.2,32,30
"AASTU, Ethiopia","AD00091","J0046",2021-08-04,23.7,72,46.9,61.3,38.9,27.4
"Tainan, Taiwan","AD00092","J0118",2021-08-04,15.3,47,37.4,51.3,18.8,36.2
"AASTU, Ethiopia","AD00091","J0046",2021-08-03,23.7,72,20.7,30.4,53.5,23.3
"AASTU, Ethiopia","AD00098","J0060",2021-08-03,17.7,54,17.4,29.3,35.3,30.5
"Tainan, Taiwan","AD00092","J0118",2021-08-03,23.7,72,17.9,25.1,45.4,26
"AASTU, Ethiopia","AD00091","J0046",2021-08-02,23,70,32.6,65.9,30.8,35.3
"AASTU, Ethiopia","AD00098","J0060",2021-08-02,23,70,33.5,69.1,20.2,37.6
"Tainan, Taiwan","AD00092","J0118",2021-08-02,23,71,32,64.2,25,33.5
"AASTU, Ethiopia","AD00091","J0046",2021-07-30,6,19,15.7,18.5,32.8,40
"AASTU, Ethiopia","AD00091","J0046",2021-07-29,23.7,72,10.2,26,34.3,32.7
"Tainan, Taiwan","AD00092","J0118",2021-07-29,9.7,30,14.4,24.8,16.4,44
"AASTU, Ethiopia","AD00091","J0046",2021-07-28,23.7,72,11.7,27.7,32.7,34.7
"AASTU, Ethiopia","AD00098","J0060",2021-07-28,16.7,51,8.6,11,12.9,44.8
"Tainan, Taiwan","AD00092","J0118",2021-07-28,23.7,72,11.3,25.9,19.7,37.3
"AASTU, Ethiopia","AD00091","J0046",2021-07-27,23.7,72,8.3,17,30.4,36.6
"AASTU, Ethiopia","AD00098","J0060",2021-07-27,23.7,75,8.6,17.5,19.9,38.9
"Delhi, India","AD00096","J0121",2021-07-27,6.7,21,16.5,19.1,26.6,45.2
"Tainan, Taiwan","AD00092","J0118",2021-07-27,23.7,72,9.2,17.7,23.8,35
"Delhi, India","AD00096","J0132",2021-07-23,13.7,42,33.6,45.7,39.8,39.1
"Delhi, India","AD00096","J0132",2021-07-22,23.7,70,391.5,2243.7,46.4,35.8
"Delhi, India","AD00096","J0132",2021-07-21,24,73,7.8,11.2,47.7,34.7
"Delhi, India","AD00096","J0120",2021-07-17,23.3,71,4.1,6.5,47.5,33.5
"Delhi, India","AD00096","J0120",2021-07-16,23.7,72,13.1,28,50.1,33.6
"Delhi, India","AD00096","J0120",2021-07-15,23.7,72,12.6,18.3,43.4,36.4
"Delhi, India","AD00096","J0120",2021-07-14,24,73,8.2,10.6,44.7,34.6
